Shark,Specie,Sex,Length_cm,Release date,Latitude_RP,Longitude_RP,Latitude,Longitude
B01F,Bull,F,255,27/11/2018,-22.60358,166.49282,-22.2758,166.3939
B02F,Bull,F,271,28/11/2018,-22.38353,166.53233,-22.2919,166.4182
B03F,Bull,F,282,30/11/2018,-22.32495,166.16983,-22.3012,166.4165
B04F,Bull,F,312,08/03/2019,-22.7411,166.67033,-22.3,166.3916
B05F,Bull,F,275,05/11/2019,-22.7411,166.67033,-22.3163,166.3734
B06F,Bull,F,294,06/11/2019,-22.7411,166.67033,-22.3007,166.3719
B07F,Bull,F,275,10/12/2019,-22.7411,166.67033,-22.2874,166.3806
B08F,Bull,F,305,21/01/2020,-22.7411,166.67033,-22.2837,166.408
B09M,Bull,M,237,07/07/2020,-22.7411,166.67033,-22.299,166.405
B10M,Bull,M,237,15/09/2020,-22.312231,166.461294,-22.3258,166.4762
B11F,Bull,F,302,15/10/2020,-22.7411,166.67033,-22.3042,166.3512
B12F,Bull,F,306,15/10/2020,-22.7411,166.67033,-22.2824,166.3529
B13F,Bull,F,294,15/10/2020,-22.7411,166.67033,-22.2598,166.3702
B14M,Bull,M,271,15/10/2020,-22.7411,166.67033,-22.3128,166.4229
B15F,Bull,F,285,15/10/2020,-22.7411,166.67033,-22.3155,166.3932
B16F,Bull,F,302,15/10/2020,-22.7411,166.67033,-22.2861,166.3954
T01F,Tiger,F,205,19/11/2020,-22.312231,166.461294,-22.3278,166.4642
B17M,Bull,M,170,19/11/2020,-22.312231,166.461294,-22.3255,166.4597
T02F,Tiger,F,220,19/11/2020,-22.312231,166.461294,-22.2792,166.3499
T03M,Tiger,M,160,12/03/2021,-22.330659,166.405653,-22.3188,166.4225
B18M,Bull,M,259,25/03/2021,-22.313908,166.460574,-22.3229,166.4374
T04F,Tiger,F,168,27/04/2021,-22.274985,166.416956,-22.3316,166.4439
T05F,Tiger,F,157,28/04/2021,-22.274985,166.416956,-22.307,166.4114
B19F,Bull,F,215,28/04/2021,-22.274985,166.416956,-22.2614,166.348
T06F,Tiger,F,245,28/04/2021,-22.274985,166.416956,-22.2579,166.364
T07F,Tiger,F,370,27/07/2021,-22.346449,166.345529,-22.3037,166.3881
T08F,Tiger,F,300,27/07/2021,-22.346449,166.345529,-22.3073,166.3738
T09F,Tiger,F,280,16/03/2022,-22.218322,166.396275,-22.2742,166.3833
T10F,Tiger,F,337,29/06/2022,-22.214195,166.322575,-22.3334,166.391
T11F,Tiger,F,348,29/06/2022,-22.214195,166.322575,-22.2886,166.3732
